source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
confaelshop.ru/direct entry	not_set	not_set	not_set	Среда	not_set	117	214	54.67
com.google.android.googlequicksearchbox/organic	not_set	not_set	not_set	Пятница	not_set	28	89	31.46
googleads.g.doubleclick.net/campaigns	not_set	not_set	not_set	Среда	not_set	164	1309	12.53
tpc.googlesyndication.com/referral	not_set	not_set	not_set	Суббота	not_set	37	191	19.37
googleads.g.doubleclick.net/referral	not_set	not_set	not_set	Четверг	not_set	3	49	6.12
www.google.kz/organic	not_set	not_set	not_set	Среда	not_set	24	202	11.88
www.confael.ru/referral	not_set	not_set	not_set	Суббота	not_set	763	543	140.52
www.yandex.ru/organic	not_set	not_set	not_set	Суббота	not_set	25	32	78.12
www.google.ru/organic	not_set	not_set	not_set	Пятница	not_set	240	575	41.74
www.google.kz/organic	not_set	not_set	not_set	Пятница	not_set	10	61	16.39
www.google.ru/organic	not_set	not_set	not_set	Среда	not_set	494	1838	26.88
googleads.g.doubleclick.net/campaigns	not_set	not_set	not_set	Пятница	not_set	180	1290	13.95
yandex.ru/organic	not_set	not_set	not_set	Суббота	not_set	136	194	70.1
com.google.android.googlequicksearchbox/organic	not_set	not_set	not_set	Суббота	not_set	172	495	34.75
127.0.0.1/referral	not_set	not_set	not_set	Суббота	not_set	0	24	0
yandex/cpc	not_set	not_set	not_set	Среда	not_set	1164	3839	30.32
www.confael.ru/referral	not_set	not_set	not_set	Пятница	not_set	218	175	124.57
yandex/cpc	not_set	not_set	not_set	Суббота	not_set	2627	6292	41.75
none	not_set	not_set	not_set	Суббота	not_set	4627	10808	42.81
tpc.googlesyndication.com/referral	not_set	not_set	not_set	Среда	not_set	2	30	6.67
www.google.com/organic	not_set	not_set	not_set	Четверг	not_set	91	413	22.03
confaelshop.ru/direct entry	not_set	not_set	not_set	Четверг	not_set	126	356	35.39
googleads.g.doubleclick.net/referral	not_set	not_set	not_set	Суббота	not_set	16	126	12.7
www.confael.ru/referral	not_set	not_set	not_set	Среда	not_set	232	170	136.47
www.google.com/organic	not_set	not_set	not_set	Суббота	not_set	129	433	29.79
confaelshop.ru/campaigns	not_set	not_set	not_set	Суббота	not_set	23	21	109.52
tpc.googlesyndication.com/referral	not_set	not_set	not_set	Четверг	not_set	4	41	9.76
none/direct entry	not_set	not_set	not_set	Четверг	not_set	157	998	15.73
www.google.ru/organic	not_set	not_set	not_set	Суббота	not_set	938	2340	40.09
none	not_set	not_set	not_set	Четверг	not_set	2214	8428	26.27
googleads.g.doubleclick.net/campaigns	not_set	not_set	not_set	Суббота	not_set	606	3667	16.53
www.google.kz/organic	not_set	not_set	not_set	Суббота	not_set	62	491	12.63
im/newsletter	not_set	not_set	not_set	Суббота	not_set	118	99	119.19
